complaint_text,category
Residents reported that Water leaking from underground pipe near Kuruchikuppam near residential houses,Water
"Please check, Residents in White Town report irregular water supply requiring urgent action",Water
Residents reported that Road barricade damaged near Bahour,Roads
Residents reported that Voltage fluctuation in Kottakuppam requiring urgent action,Electrical
Local people say that Bad smell from open drain in Oulgaret near residential houses,Sanitation
Residents reported that Pedestrian path broken near Beach Road,Roads
Local people say that Abandoned vehicle blocking road near Reddiarpalayam for the past few days,Other
Residents reported that Potholes filled with rainwater near Kottakuppam near residential houses,Roads
Electric pole damaged during road repair near Kottakuppam requiring urgent action,Electrical
"Please check, Streetlight flickering near Beach Road during peak hours",Electrical
Noise complaint near White Town,Other
"Please check, Road damaged after pipeline repair near Bahour during peak hours",Roads
Residents reported that Waste pile near Reddiarpalayam market near residential houses,Sanitation
Complaint raised because Public park maintenance needed in Puducherry Bus Stand for the past few days,Other
Public park maintenance needed in Lawspet during peak hours,Other
Complaint raised because Sewage water flowing on road near Mission Street during peak hours,Sanitation
Complaint raised because Pipeline burst near Indira Gandhi Square main road near residential houses,Water
Local people say that Water supply stopped after repair work in Beach Road during peak hours,Water
Residents reported that Streetlight not working in Ariyankuppam,Electrical
Local people say that Water supply stopped after repair work in Muthialpet,Water
Voltage fluctuation in Nellithope during peak hours,Electrical
Local people say that Electric pole damaged during road repair near Kalapet during peak hours,Electrical
Complaint raised because Road shoulder collapsed near Puducherry Bus Stand during peak hours,Roads
"Please check, Short circuit reported near Bahour for the past few days",Electrical
Loose electric wire hanging near Thavalakuppam near residential houses,Electrical
Complaint raised because Public tap leaking continuously in Oulgaret for the past few days,Water
Pipeline burst near Kottakuppam main road requiring urgent action,Water
"Please check, Uneven road causing traffic near Ariyankuppam and it is causing inconvenience",Roads
"Please check, Loose electric wire hanging near White Town and it is causing inconvenience",Electrical
"Please check, Tree fell on road after rain near Lawspet for the past few days",Other
Residents reported that Traffic signal not working near Ariyankuppam,Other
"Please check, Blocked sewage line near Rainbow Nagar and it is causing inconvenience",Sanitation
Local people say that Potholes filled with rainwater near Thavalakuppam,Roads
Complaint raised because Road damaged after pipeline repair near Kuruchikuppam,Roads
Electric pole leaning after road work near Kuruchikuppam for the past few days,Electrical
Complaint raised because Road excavation exposed electrical cables near Oulgaret near residential houses,Electrical
"Please check, Drinking water line damaged near Ariyankuppam market during peak hours",Water
Local people say that Loose gravel causing bikes to skid near MG Road requiring urgent action,Roads
Noise complaint near Ariyankuppam,Other
Residents reported that Abandoned vehicle blocking road near Muthialpet requiring urgent action,Other
Stray dog problm near White Town,Other
Complaint raised because Road damaged after pipeline repair work in Nellithope requiring urgent action,Roads
"Please check, Power cable exposed near Bahour",Electrical
Local people say that Public tap leaking continuously in Nellithope requiring urgent action,Water
"Please check, Pipeline burst near Villianur main road and it is causing inconvenience",Water
Stretlight not working in White Town,Electrical
Complaint raised because Public toilet not cleaned near Ariyankuppam,Sanitation
Streetlight pole bent after road accident near Beach Road for the past few days,Electrical
Illegal parking near Indira Gandhi Square and it is causing inconvenience,Other
Local people say that Public utility issue near Kottakuppam affecting residents near residential houses,Other
Residents reported that Water supply stopped after repair work in Nellithope during peak hours,Water
Public tap leaking continuously in Rainbow Nagar for the past few days,Water
Dustbin overflowing near Villianur for the past few days,Sanitation
Residents reported that Something is leaking continuously near Ariyankuppam market near residential houses,Water
"Please check, Power outage in Oulgaret",Electrical
"Please check, Residents in Kalapet report irregular water supply near residential houses",Water
Residents reported that Streetlights off during night in Kuruchikuppam and it is causing inconvenience,Electrical
Loose electric wire hanging near Thavalakuppam for the past few days,Electrical
Residents in Mission Street report irregular water supply,Water
Complaint raised because Water leaking from underground pipe near Bahour near residential houses,Water
Electrc pole damaged near Villianur,Electrical
"Please check, No drinking water supply in Oulgaret for two days requiring urgent action",Water
Complaint raised because Pipeline burst near Ariyankuppam main road for the past few days,Water
Complaint raised because Road cracked after heavy rain in Kuruchikuppam for the past few days,Roads
Complaint raised because Short circuit reported near Thavalakuppam and it is causing inconvenience,Electrical
Complaint raised because Water supply line damaged beside garbage point in Kuruchikuppam,Water
Residents reported that Muddy water coming from taps in Beach Road for the past few days,Water
Complaint raised because Noise complaint near Kuruchikuppam during peak hours,Other
Residents reported that Low water pressure in houses near Oulgaret during peak hours,Water
Complaint raised because Pipeline burst near Lawspet main road for the past few days,Water
"Please check, Road cracked after heavy rain in Nellithope requiring urgent action",Roads
Residents reported that Loose gravel causing bikes to skid near Indira Gandhi Square for the past few days,Roads
Tree branches blocking path near Reddiarpalayam for the past few days,Other
Residents reported that Short circuit reported near White Town during peak hours,Electrical
Residents reported that Electric pole damaged during road repair near Kuruchikuppam,Electrical
"Please check, Traffic signal not working near Reddiarpalayam and it is causing inconvenience",Other
Local people say that Illegal parking near MG Road for the past few days,Other
Junction box open near Kuruchikuppam for the past few days,Electrical
Residents reported that Road damaged after pipeline repair near Puducherry Bus Stand for the past few days,Roads
"Please check, Water meter chamber overflowing in Oulgaret and it is causing inconvenience",Water
Residents reported that Residents in Kuruchikuppam report irregular water supply requiring urgent action,Water
Residents reported that Road shoulder collapsed near Mudaliarpet,Roads
Residents reported that Short circuit reported near Bahour and it is causing inconvenience,Electrical
Complaint raised because Abandoned vehicle blocking road near Villianur for the past few days,Other
Local people say that Voltage fluctuation in Indira Gandhi Square,Electrical
Power outage in MG Road for the past few days,Electrical
Public toilet not cleaned near MG Road and it is causing inconvenience,Sanitation
Complaint raised because Road dug up and not repaired in Bahour and it is causing inconvenience,Roads
"Please check, Road dug up and not repaired in Muthialpet requiring urgent action",Roads
Local people say that Garbage not collected in Reddiarpalayam during peak hours,Sanitation
"Please check, Streetlights off during night in Muthialpet",Electrical
Drainage overflow near Beach Road,Sanitation
Water meter chamber overflowing in Mudaliarpet during peak hours,Water
No watter supply near Mission Street,Water
Local people say that Garbage not collected in Lawspet during peak hours,Sanitation
